N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
208,ACE KRX금현물,"20,815","20,815",하락300,-1.42%,0,"12,801","61,500",0.79,"763,545",N/A,N/A
209,이수스페셜티케미컬,"42,250","42,250",상승650,+1.56%,"1,000","12,763","30,208",5.52,"77,690",119.01,9.70
210,HD현대건설기계,"71,800","71,800","상승2,200",+3.16%,"5,000","12,718","17,714",16.23,"80,979",13.61,6.18
211,한일시멘트,"18,010","18,010",상승510,+2.91%,500,"12,474","69,262",4.59,"46,058",6.78,11.13
212,KODEX 코스닥150,"11,605","11,605",하락50,-0.43%,0,"12,470","107,450",0.97,"2,774,011",N/A,N/A
213,TIGER 미국30년국채커버드콜액티브(H),"8,070","8,070",하락25,-0.31%,0,"12,464","154,450",0.02,"738,135",N/A,N/A
214,오리온홀딩스,"19,530","19,530",보합0,0.00%,500,"12,235","62,645",11.42,"92,624",7.62,7.03
215,RISE 200,"34,750","34,750",상승270,+0.78%,0,"12,145","34,950",0.05,"111,473",N/A,N/A
216,코스모신소재,"37,350","37,350",상승600,+1.63%,"1,000","12,143","32,511",8.73,"85,562",68.78,3.62
217,DN오토모티브,"20,650","20,650",상승250,+1.23%,100,"12,082","58,511",5.24,"45,526",3.84,19.78
218,더블유게임즈,"56,200","56,200",하락900,-1.58%,500,"12,081","21,496",18.14,"25,274",6.45,18.69
219,TIGER 25-12 금융채(AA-이상),"51,110","51,110",상승5,+0.01%,0,"11,943","23,368",0.00,256,N/A,N/A
220,GS리테일,"14,210","14,210",상승160,+1.14%,"1,000","11,881","83,607",8.83,"81,815",568.40,0.07
221,현대위아,"43,500","43,500",상승300,+0.69%,"5,000","11,830","27,195",14.07,"47,546",9.82,3.45
222,롯데에너지머티리얼즈,"22,000","22,000",보합0,0.00%,500,"11,520","52,365",7.47,"47,177",160.58,0.46
223,KODEX 200선물인버스2X,"2,100","2,100",하락25,-1.18%,0,"11,502","547,700",1.26,"46,522,088",N/A,N/A
224,ACE 테슬라밸류체인액티브,"14,005","14,005",상승890,+6.79%,0,"11,421","81,550",0.50,"2,097,380",N/A,N/A
225,대웅,"19,620","19,620",하락330,-1.65%,500,"11,407","58,142",5.28,"15,273",19.70,5.99
226,파라다이스,"12,430","12,430",하락50,-0.40%,500,"11,407","91,772",5.13,"63,869",15.10,4.97
227,에스디바이오센서,"9,360","9,360",상승30,+0.32%,500,"11,396","121,749",7.04,"17,792",-11.83,-3.43
228,롯데렌탈,"31,200","31,200",상승500,+1.63%,"5,000","11,329","36,309",6.47,"20,919",10.70,7.51
229,HDC,"18,950","18,950",하락150,-0.79%,"5,000","11,321","59,742",20.42,"82,095",7.73,5.65
230,SNT다이내믹스,"33,950","33,950","하락2,450",-6.73%,"2,500","11,289","33,253",8.50,"128,221",11.74,12.90
231,경동나비엔,"76,600","76,600",하락100,-0.13%,"1,000","11,160","14,569",10.22,"28,429",8.97,19.43
